account_id,signup_date,utm_source,utm_campaign,ref,account_type,month_year,status,renewal_count,conversion_flag,billing_cycle_end_date,trial_end_date,cancel_reason,status_new
ACC1000,2025-07-29,Unknown,Campaign_C,ability,Agency,2025-07,Active,0.0,yes,2025-07-22,2025-08-04,price,Active
ACC1001,2025-06-13,Unknown,Campaign_A,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1002,2025-06-03,LinkedIn,Campaign_B,,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1003,2025-08-01,Unknown,Campaign_B,start,Agency,2025-08,Trialing,,yes,2025-06-30,2025-06-19,churned,Trialing
ACC1004,2025-07-24,LinkedIn,Campaign_B,,Normal,2025-07,Canceled,-1.0,yes,2025-07-17,2025-06-15,price,churned
ACC1005,2025-07-15,Google Ads,Campaign_A,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1006,2025-07-15,Google Ads,Campaign_C,marriage,Agency,2025-07,Canceled,,yes,2025-08-24,2025-08-18,price,churned
ACC1007,2025-07-15,Google Ads,Campaign_C,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1008,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Canceled,-1.0,yes,2025-08-02,2025-07-27,price,churned
ACC1009,2025-08-10,LinkedIn,Campaign_A,,Normal,2025-08,Active,-1.0,yes,2025-08-30,2025-06-04,churned,Active
ACC1010,2025-07-15,LinkedIn,Campaign_C,,Agency,2025-07,Canceled,,yes,2025-07-03,2025-08-18,churned,churned
ACC1011,2025-08-01,Unknown,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1012,2025-07-19,LinkedIn,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1013,2025-08-01,Unknown,Campaign_B,,Normal,2025-08,Active,0.0,yes,2025-06-16,2025-06-11,competitor,Active
ACC1014,2025-08-16,LinkedIn,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1015,2025-06-25,Google Ads,Campaign_C,support,Agency,2025-06,Canceled,2.0,no,2025-07-26,2025-07-27,price,dropped after trial
ACC1016,2025-08-01,Organic,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1017,2025-08-01,Google Ads,Campaign_C,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1018,2025-07-15,Referral,Campaign_B,team,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1019,2025-06-09,Google Ads,Campaign_B,,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1020,2025-07-15,Google Ads,Campaign_A,,Agency,2025-07,Canceled,,no,2025-08-14,2025-08-28,competitor,dropped after trial
ACC1021,2025-07-15,Google Ads,Campaign_C,,Normal,2025-07,Active,-1.0,yes,2025-07-17,2025-07-10,price,Active
ACC1022,2025-08-01,Unknown,Campaign_C,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1023,2025-07-15,LinkedIn,Campaign_B,force,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1024,2025-08-28,Google Ads,Campaign_A,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1025,2025-08-01,Google Ads,Campaign_B,another,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1026,2025-08-01,Google Ads,Campaign_A,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1027,2025-07-15,Referral,Campaign_C,wrong,Normal,2025-07,Trialing,2.0,yes,2025-07-19,2025-06-06,competitor,Trialing
ACC1028,2025-08-01,Google Ads,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1029,2025-08-01,LinkedIn,Campaign_B,,Agency,2025-08,Active,2.0,no,2025-08-11,2025-06-15,price,Active
ACC1030,2025-08-26,Referral,Campaign_B,direction,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1031,2025-07-15,Unknown,Campaign_C,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1032,2025-06-12,Google Ads,Campaign_C,Democrat,Agency,2025-06,Canceled,0.0,yes,2025-08-03,2025-06-08,,churned
ACC1033,2025-07-24,Google Ads,Campaign_A,water,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1034,2025-07-15,Google Ads,Campaign_B,,Agency,2025-07,Not subscibed,,,,,,Not subscibed
ACC1035,2025-06-20,Unknown,Campaign_B,get,Agency,2025-06,Not subscibed,,,,,,Not subscibed
ACC1036,2025-08-13,Google Ads,Campaign_A,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1037,2025-07-15,Organic,Campaign_A,,Normal,2025-07,Active,2.0,yes,2025-08-21,2025-06-14,price,Active
ACC1038,2025-08-01,Referral,Campaign_A,manager,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1039,2025-07-15,LinkedIn,Campaign_B,five,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1040,2025-07-13,Organic,Campaign_A,season,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1041,2025-08-28,LinkedIn,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1042,2025-07-15,Google Ads,Campaign_B,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1043,2025-07-15,Organic,Campaign_C,,Agency,2025-07,Active,2.0,yes,2025-06-22,2025-06-18,churned,Active
ACC1044,2025-07-15,LinkedIn,Campaign_A,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1045,2025-08-08,Google Ads,Campaign_B,,Agency,2025-08,Not subscibed,,,,,,Not subscibed
ACC1046,2025-08-01,Google Ads,Campaign_B,half,Normal,2025-08,Active,2.0,no,2025-08-24,2025-07-17,competitor,Active
ACC1047,2025-08-01,Organic,Campaign_A,,Agency,2025-08,Canceled,-1.0,no,2025-06-13,2025-06-09,,dropped after trial
ACC1048,2025-07-23,Google Ads,Campaign_A,,Normal,2025-07,Not subscibed,,,,,,Not subscibed
ACC1049,2025-08-25,Unknown,Campaign_C,enjoy,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1050,2025-08-01,Unknown,Campaign_C,,Normal,2025-08,Active,1.0,no,2025-06-13,2025-07-29,competitor,Active
ACC1051,2025-08-24,Google Ads,Campaign_B,,Normal,2025-08,Not subscibed,,,,,,Not subscibed
ACC1052,2025-06-07,Google Ads,Campaign_C,across,Normal,2025-06,Not subscibed,,,,,,Not subscibed
ACC1053,2025-08-20,Referral,Campaign_C,player,Agency,2025-08,Not subscibed,,,,,,Not subscibed
