account_id,signup_date,utm_source,utm_campaign,ref,account_type
ACC1000,2025-07-29,,Campaign_C,ability,agency
ACC1001,2025-06-13,,Campaign_A,,AGENCY
ACC1002,2025-06-03,LinkedIn,Campaign_B,,normal
ACC1003,2025/08/01,,Campaing_B,start,AGENCY
ACC1004,2025-07-24,LinkedIn,Campaing_B,,Normal
ACC1005,07/15/2025,Google Ads,Campaign_A,,normal
ACC1006,07/15/2025,Googel Ads,Campaign_C,marriage,AGENCY
ACC1007,07/15/2025,Google Ads,Campaign_C,,Normal
ACC1008,2025/08/01,Google Ads,Campaign_A,,agency
ACC1009,2025-08-10,LinkedIn,Campaign_A,,Normal
ACC1010,07/15/2025,LinkedIn,Campaign_C,,agency
ACC1011,2025/08/01,,Campaign_A,,agency
ACC1012,2025-07-19,LinkedIn,Campaing_B,,Normal
ACC1013,2025/08/01,,Campaign_B,,Normal
ACC1014,2025-08-16,LinkedIn,Campaign_A,,AGENCY
ACC1015,2025-06-25,Googel Ads,Campaign_C,support,AGENCY
ACC1016,2025/08/01,Organic,Campaign_B,,agency
ACC1017,2025/08/01,Googel Ads,Campaign_C,,AGENCY
ACC1018,07/15/2025,Referral,Campaign_B,team,AGENCY
ACC1019,2025-06-09,Google Ads,Campaign_B,,agency
ACC1020,07/15/2025,Googel Ads,Campaign_A,,AGENCY
ACC1021,07/15/2025,Googel Ads,Campaign_C,,normal
ACC1022,2025-08-01,,Campaign_C,,Normal
ACC1023,07/15/2025,LinkedIn,Campaing_B,force,Normal
ACC1024,2025-08-28,Googel Ads,Campaign_A,,Normal
ACC1025,2025/08/01,Googel Ads,Campaign_B,another,Normal
ACC1026,2025/08/01,Googel Ads,Campaign_A,,Normal
ACC1027,2025-07-15,Referral,Campaign_C,wrong,normal
ACC1028,2025/08/01,Google Ads,Campaign_A,,AGENCY
ACC1029,2025/08/01,LinkedIn,Campaign_B,,AGENCY
ACC1030,2025-08-26,Referral,Campaing_B,direction,agency
ACC1031,07/15/2025,,Campaign_C,,AGENCY
ACC1032,2025-06-12,Google Ads,Campaign_C,Democrat,agency
ACC1033,2025-07-24,Google Ads,Campaign_A,water,normal
ACC1034,07/15/2025,Google Ads,Campaign_B,,AGENCY
ACC1035,2025-06-20,,Campaing_B,get,AGENCY
ACC1036,2025-08-13,Google Ads,Campaign_A,,AGENCY
ACC1037,07/15/2025,Organic,Campaign_A,,normal
ACC1038,2025/08/01,Referral,Campaign_A,manager,agency
ACC1039,07/15/2025,LinkedIn,Campaing_B,five,Normal
ACC1040,2025-07-13,Organic,Campaign_A,season,normal
ACC1041,2025-08-28,LinkedIn,Campaing_B,,AGENCY
ACC1042,07/15/2025,Google Ads,Campaign_B,,normal
ACC1043,07/15/2025,Organic,Campaign_C,,AGENCY
ACC1044,07/15/2025,LinkedIn,Campaign_A,,normal
ACC1045,2025-08-08,Google Ads,Campaing_B,,agency
ACC1046,2025/08/01,Google Ads,Campaign_B,half,normal
ACC1047,2025-08-01,Organic,Campaign_A,,agency
ACC1048,2025-07-23,Googel Ads,Campaign_A,,Normal
ACC1049,2025-08-25,,Campaign_C,enjoy,Normal
ACC1050,2025/08/01,,Campaign_C,,Normal
ACC1051,2025-08-24,Google Ads,Campaing_B,,normal
ACC1052,2025-06-07,Googel Ads,Campaign_C,across,Normal
ACC1053,2025-08-20,Referral,Campaign_C,player,AGENCY
ACC1054,2025/08/01,Referral,Campaign_A,,Normal
ACC1055,2025-08-24,LinkedIn,Campaign_C,debate,normal
ACC1056,2025-08-07,Referral,Campaign_C,,agency
ACC1057,2025-08-05,,Campaign_C,,AGENCY
ACC1058,2025-06-23,Google Ads,Campaing_B,,normal
ACC1059,2025-06-01,,Campaign_C,challenge,AGENCY
ACC1060,07/15/2025,Googel Ads,Campaign_A,me,normal
